question_id,query_type,method,hit_1,hit_3,hit_5,mrr
Q01,EXACT_KEYWORD,BM25-only,0,1,1,0.3333333333333333
Q01,EXACT_KEYWORD,Dense-only,1,1,1,1.0
Q01,EXACT_KEYWORD,Hybrid,1,1,1,1.0
Q01,EXACT_KEYWORD,Hybrid+Rerank,1,1,1,1.0
Q02,EXACT_KEYWORD,BM25-only,1,1,1,1.0
Q02,EXACT_KEYWORD,Dense-only,0,0,1,0.25
Q02,EXACT_KEYWORD,Hybrid,0,1,1,0.5
Q02,EXACT_KEYWORD,Hybrid+Rerank,0,1,1,0.5
Q03,EXACT_KEYWORD,BM25-only,0,0,0,0.0
Q03,EXACT_KEYWORD,Dense-only,1,1,1,1.0
Q03,EXACT_KEYWORD,Hybrid,1,1,1,1.0
Q03,EXACT_KEYWORD,Hybrid+Rerank,0,0,0,0.0
Q04,EXACT_KEYWORD,BM25-only,1,1,1,1.0
Q04,EXACT_KEYWORD,Dense-only,0,0,1,0.25
Q04,EXACT_KEYWORD,Hybrid,1,1,1,1.0
Q04,EXACT_KEYWORD,Hybrid+Rerank,1,1,1,1.0
Q05,SEMANTIC,BM25-only,0,0,0,0.0
Q05,SEMANTIC,Dense-only,0,0,0,0.0
Q05,SEMANTIC,Hybrid,0,0,0,0.0
Q05,SEMANTIC,Hybrid+Rerank,1,1,1,1.0
Q06,SEMANTIC,BM25-only,1,1,1,1.0
Q06,SEMANTIC,Dense-only,1,1,1,1.0
Q06,SEMANTIC,Hybrid,1,1,1,1.0
Q06,SEMANTIC,Hybrid+Rerank,1,1,1,1.0
Q07,SEMANTIC,BM25-only,0,0,0,0.0
Q07,SEMANTIC,Dense-only,0,0,0,0.0
Q07,SEMANTIC,Hybrid,0,0,0,0.0
Q07,SEMANTIC,Hybrid+Rerank,0,0,0,0.0
Q08,MIXED,BM25-only,1,1,1,1.0
Q08,MIXED,Dense-only,1,1,1,1.0
Q08,MIXED,Hybrid,1,1,1,1.0
Q08,MIXED,Hybrid+Rerank,1,1,1,1.0
Q09,MIXED,BM25-only,0,1,1,0.5
Q09,MIXED,Dense-only,1,1,1,1.0
Q09,MIXED,Hybrid,1,1,1,1.0
Q09,MIXED,Hybrid+Rerank,1,1,1,1.0
Q10,MIXED,BM25-only,0,0,0,0.0
Q10,MIXED,Dense-only,1,1,1,1.0
Q10,MIXED,Hybrid,0,1,1,0.5
Q10,MIXED,Hybrid+Rerank,0,1,1,0.5
