entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
ENT_COQ_0001,CoQuan,Quốc hội,Quốc hội,166170,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Quốc hội
ENT_NGU_0002,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166170,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Vương Đình Huệ
ENT_COQ_0003,CoQuan,Chính phủ,Chính phủ,112025,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
ENT_NGU_0004,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Xuân Phúc
ENT_COQ_0005,CoQuan,Bộ Tài chính,Bộ Tài chính,112025,gemini,0.9,Theo đề nghị của Bộ trưởng Bộ Tài chính;
ENT_DOI_0006,DoiTuongApDung,Doanh nghiệp bảo hiểm,Doanh nghiệp bảo hiểm,112025,gemini,0.92,Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm;
ENT_DOI_0007,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,112025,gemini,0.9,b) Chi nhánh nước ngoài;
ENT_DOI_0008,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,112025,gemini,0.92,c) Doanh nghiệp môi giới bảo hiểm
ENT_DOI_0009,DoiTuongApDung,đại lý bảo hiểm,đại lý bảo hiểm,112025,gemini,0.92,đại lý bảo hiểm;
ENT_DOI_0010,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan","Các tổ chức, cá nhân khác có liên quan",112025,gemini,0.88,"d) Các tổ chức, cá nhân khác có liên quan."
ENT_LIN_0011,LinhVuc,Bảo Hiểm,Bảo hiểm,112025,gemini,0.95,tăng cường vai trò tự quản trong lĩnh vực bảo hiểm
ENT_COQ_0012,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Ngân hàng Nhà nước Việt Nam
ENT_NGU_0013,NguoiKy,Đào Minh Tú,Đào Minh Tú,38128,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Đào Minh Tú
ENT_DOI_0014,DoiTuongApDung,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,38128,gemini,0.92,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
ENT_DOI_0015,DoiTuongApDung,Nhà máy in tiền Quốc gia,Nhà máy in tiền Quốc gia,38128,gemini,0.92,2. Nhà máy in tiền Quốc gia.
ENT_DOI_0016,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền","Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",38128,gemini,0.92,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
ENT_LIN_0017,LinhVuc,Phát Hành Và Kho Quỹ,Phát hành và kho quỹ,38128,gemini,0.88,Lĩnh vực (Gốc): Phát hành và kho quỹ
ENT_COQ_0018,CoQuan,Quốc hội,Quốc hội,26750,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Quốc hội
ENT_NGU_0019,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,26750,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Phú Trọng
ENT_DOI_0020,DoiTuongApDung,kiểm toán viên,kiểm toán viên,26750,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_DOI_0021,DoiTuongApDung,kiểm toán viên hành nghề,kiểm toán viên hành nghề,26750,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_DOI_0022,DoiTuongApDung,doanh nghiệp kiểm toán,doanh nghiệp kiểm toán,26750,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_DOI_0023,DoiTuongApDung,chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,26750,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_DOI_0024,DoiTuongApDung,đơn vị được kiểm toán,đơn vị được kiểm toán,26750,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_DOI_0025,DoiTuongApDung,tổ chức nghề nghiệp về kiểm toán,tổ chức nghề nghiệp về kiểm toán,26750,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_DOI_0026,DoiTuongApDung,"tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập","tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",26750,gemini,0.9,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_LIN_0027,LinhVuc,Kiểm Toán Độc Lập,Kiểm toán độc lập,26750,gemini,0.95,Luật Kiểm toán độc lập
ENT_COQ_0028,CoQuan,Chính phủ,Chính phủ,163441,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
ENT_NGU_0029,NguoiKy,Lê Minh Khái,Lê Minh Khái,163441,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Lê Minh Khái
ENT_DOI_0030,DoiTuongApDung,Doanh nghiệp bảo hiểm phi nhân thọ,Doanh nghiệp bảo hiểm phi nhân thọ,163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0031,DoiTuongApDung,Doanh nghiệp bảo hiểm nhân thọ,Doanh nghiệp bảo hiểm nhân thọ,163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0032,DoiTuongApDung,Doanh nghiệp bảo hiểm sức khỏe,Doanh nghiệp bảo hiểm sức khỏe,163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0033,DoiTuongApDung,Doanh nghiệp tái bảo hiểm,Doanh nghiệp tái bảo hiểm,163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0034,DoiTuongApDung,Đại lý bảo hiểm,Đại lý bảo hiểm,163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0035,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0036,DoiTuongApDung,"Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm","Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0037,DoiTuongApDung,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,163441,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
ENT_DOI_0038,DoiTuongApDung,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,163441,gemini,0.92,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam)"
ENT_DOI_0039,DoiTuongApDung,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,163441,gemini,0.92,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam)"
ENT_DOI_0040,DoiTuongApDung,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam","Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",163441,gemini,0.92,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
ENT_DOI_0041,DoiTuongApDung,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng","Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng",163441,gemini,0.92,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
ENT_DOI_0042,DoiTuongApDung,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,163441,gemini,0.92,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
ENT_DOI_0043,DoiTuongApDung,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,163441,gemini,0.92,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
ENT_LIN_0044,LinhVuc,Bảo Hiểm,Bảo hiểm,163441,gemini,0.95,Nghị định quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm
ENT_COQ_0045,CoQuan,Chính phủ,Chính phủ,146468,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
ENT_NGU_0046,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,146468,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Xuân Phúc
ENT_COQ_0047,CoQuan,Bộ Tài chính,Bộ Tài chính,146468,gemini,0.85,Theo đề nghị của Bộ trưởng Bộ Tài chính.
ENT_DOI_0048,DoiTuongApDung,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài","Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",146468,gemini,0.92,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán"
ENT_DOI_0049,DoiTuongApDung,Công ty đại chúng,Công ty đại chúng,146468,gemini,0.9,a) Công ty đại chúng;
ENT_DOI_0050,DoiTuongApDung,Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,146468,gemini,0.9,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
ENT_DOI_0051,DoiTuongApDung,Tổ chức phát hành,Tổ chức phát hành,146468,gemini,0.9,c) Tổ chức phát hành;
ENT_DOI_0052,DoiTuongApDung,"Tổ chức niêm yết, tổ chức đăng ký giao dịch","Tổ chức niêm yết, tổ chức đăng ký giao dịch",146468,gemini,0.9,"d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;"
ENT_DOI_0053,DoiTuongApDung,Tổ chức kiểm toán được chấp thuận,Tổ chức kiểm toán được chấp thuận,146468,gemini,0.9,đ) Tổ chức kiểm toán được chấp thuận;
ENT_DOI_0054,DoiTuongApDung,"Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán","Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán",146468,gemini,0.9,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
ENT_DOI_0055,DoiTuongApDung,Ngân hàng thương mại,Ngân hàng thương mại,146468,gemini,0.88,"k) Ngân hàng thương mại, chi nhán"
ENT_LIN_0056,LinhVuc,Chứng Khoán Và Thị Trường Chứng Khoán,Chứng khoán và thị trường chứng khoán,146468,gemini,0.95,Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
ENT_COQ_0057,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168220,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Ngân hàng Nhà nước Việt Nam
ENT_NGU_0058,NguoiKy,Đào Minh Tú,Đào Minh Tú,168220,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Đào Minh Tú
ENT_DOI_0059,DoiTuongApDung,Ngân hàng hợp tác xã,Ngân hàng hợp tác xã,168220,gemini,0.95,1. Ngân hàng hợp tác xã.
ENT_DOI_0060,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,168220,gemini,0.95,2. Quỹ tín dụng nhân dân.
ENT_DOI_0061,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này","Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",168220,gemini,0.92,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
ENT_LIN_0062,LinhVuc,"Thanh Tra, Giám Sát Ngân Hàng","Thanh tra, giám sát ngân hàng",168220,gemini,0.9,"Lĩnh vực (Gốc): Thanh tra, giám sát ngân hàng"
ENT_COQ_0063,CoQuan,Chính phủ,Chính phủ,133858,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
ENT_NGU_0064,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,133858,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Xuân Phúc
ENT_COQ_0065,CoQuan,Bộ Tài chính,Bộ Tài chính,133858,gemini,0.92,Theo đề nghị của Bộ trưởng Bộ Tài chính;
ENT_DOI_0066,DoiTuongApDung,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ","Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",133858,gemini,0.93,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
ENT_DOI_0067,DoiTuongApDung,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương","Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",133858,gemini,0.93,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
ENT_DOI_0068,DoiTuongApDung,Các đơn vị sự nghiệp công lập,Các đơn vị sự nghiệp công lập,133858,gemini,0.93,c) Các đơn vị sự nghiệp công lập;
ENT_DOI_0069,DoiTuongApDung,Các doanh nghiệp,Các doanh nghiệp,133858,gemini,0.93,d) Các doanh nghiệp;
ENT_DOI_0070,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,133858,gemini,0.88,Công tác kiểm toán nội bộ của tổ chức tín dụng
ENT_LIN_0071,LinhVuc,Kiểm Toán Nội Bộ,Kiểm toán nội bộ,133858,gemini,0.92,NGHỊ ĐỊNH Về kiểm toán nội bộ
ENT_COQ_0072,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,169221,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Ngân hàng Nhà nước Việt Nam
ENT_NGU_0073,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,169221,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Phạm Thanh Hà
