document_id,so_ky_hieu,entity,entity_type,source,method,confidence,evidence
166170,32/2024/QH15,Quốc hội,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Quốc hội
166170,32/2024/QH15,Vương Đình Huệ,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Vương Đình Huệ
112025,73/2016/NĐ-CP,Chính phủ,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
112025,73/2016/NĐ-CP,Nguyễn Xuân Phúc,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Xuân Phúc
112025,73/2016/NĐ-CP,Chính phủ,CoQuan,content_clean,gemini,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
112025,73/2016/NĐ-CP,Bộ Tài chính,CoQuan,content_clean,gemini,0.9,Theo đề nghị của Bộ trưởng Bộ Tài chính;
112025,73/2016/NĐ-CP,Doanh nghiệp bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm;
112025,73/2016/NĐ-CP,Chi nhánh nước ngoài,DoiTuongApDung,content_clean,gemini,0.9,b) Chi nhánh nước ngoài;
112025,73/2016/NĐ-CP,Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,c) Doanh nghiệp môi giới bảo hiểm
112025,73/2016/NĐ-CP,đại lý bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,đại lý bảo hiểm;
112025,73/2016/NĐ-CP,"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,gemini,0.88,"d) Các tổ chức, cá nhân khác có liên quan."
112025,73/2016/NĐ-CP,Bảo hiểm,LinhVuc,content_clean,gemini,0.95,tăng cường vai trò tự quản trong lĩnh vực bảo hiểm
38128,37/2014/TT-NHNN,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Ngân hàng Nhà nước Việt Nam
38128,37/2014/TT-NHNN,Đào Minh Tú,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Đào Minh Tú
38128,37/2014/TT-NHNN,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
38128,37/2014/TT-NHNN,Đào Minh Tú,NguoiKy,content_clean,gemini,0.9,Người ký (Gốc): Đào Minh Tú
38128,37/2014/TT-NHNN,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,DoiTuongApDung,content_clean,gemini,0.92,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
38128,37/2014/TT-NHNN,Nhà máy in tiền Quốc gia,DoiTuongApDung,content_clean,gemini,0.92,2. Nhà máy in tiền Quốc gia.
